So	Po1	M.F	U1	Ineq	Prob	Crime
1	5,8	95	0,108	26,1	0,084602	791
0	10,3	101,2	0,096	19,4	0,029599	1635
1	4,5	96,9	0,094	25	0,083401	578
0	14,9	99,4	0,102	16,7	0,015801	1969
0	10,9	98,5	0,091	17,4	0,041399	1234
0	11,8	96,4	0,084	12,6	0,034201	682
1	8,2	98,2	0,097	16,8	0,0421	963
1	11,5	96,9	0,079	20,6	0,040099	1555
1	6,5	95,5	0,081	23,9	0,071697	856
0	7,1	102,9	0,1	17,4	0,044498	705
0	12,1	96,6	0,077	17	0,016201	1674
0	7,5	97,2	0,083	17,2	0,031201	849
0	6,7	97,2	0,077	20,6	0,045302	511
0	6,2	98,6	0,077	19	0,0532	664
1	5,7	98,6	0,092	26,4	0,0691	798
1	8,1	95,6	0,116	24,7	0,052099	946
0	6,6	97,7	0,114	16,6	0,076299	539
1	12,3	97,8	0,089	16,5	0,119804	929
0	12,8	93,4	0,078	13,5	0,019099	750
0	11,3	98,5	0,13	16,6	0,034801	1225
0	7,4	98,4	0,102	19,5	0,0228	742
1	4,7	96,2	0,097	27,6	0,089502	439
0	8,7	95,3	0,083	22,7	0,0307	1216
0	7,8	103,8	0,142	17,6	0,041598	968
0	6,3	98,4	0,07	19,6	0,069197	523
0	16	107,1	0,102	15,2	0,041698	1993
0	6,9	96,5	0,08	13,9	0,036099	342
0	8,2	101,8	0,103	21,5	0,038201	1216
0	16,6	93,8	0,092	15,4	0,0234	1043
1	5,8	97,3	0,072	23,7	0,075298	696
0	5,5	104,5	0,135	20	0,041999	373
0	9	96,4	0,105	16,3	0,042698	754
1	6,3	97,2	0,076	23,3	0,049499	1072
0	9,7	99	0,102	16,6	0,040799	923
0	9,7	94,8	0,124	15,8	0,0207	653
0	10,9	96,4	0,087	15,3	0,0069	1272
1	5,8	97,4	0,076	25,4	0,045198	831
0	5,1	102,4	0,099	22,5	0,053998	566
1	6,1	95,3	0,086	25,1	0,047099	826
1	8,2	98,1	0,088	22,8	0,038801	1151
0	7,2	99,8	0,084	14,4	0,0251	880
0	5,6	96,8	0,107	17	0,088904	542
1	7,5	99,6	0,073	22,4	0,054902	823
0	9,5	101,2	0,111	16,2	0,0281	1030
1	4,6	96,8	0,135	24,9	0,056202	455
0	10,6	98,9	0,078	17,1	0,046598	508
0	9	104,9	0,113	16	0,052802	849
