M	Ed	Po2	LF	U2	Wealth	Time	Crime
15,1	9,1	5,6	0,51	4,1	3940	26,2011	791
14,3	11,3	9,5	0,583	3,6	5570	25,2999	1635
14,2	8,9	4,4	0,533	3,3	3180	24,3006	578
13,6	12,1	14,1	0,577	3,9	6730	29,9012	1969
14,1	12,1	10,1	0,591	2	5780	21,2998	1234
12,1	11	11,5	0,547	2,9	6890	20,9995	682
12,7	11,1	7,9	0,519	3,8	6200	20,6993	963
13,1	10,9	10,9	0,542	3,5	4720	24,5988	1555
15,7	9	6,2	0,553	2,8	4210	29,4001	856
14	11,8	6,8	0,632	2,4	5260	19,5994	705
12,4	10,5	11,6	0,58	3,5	6570	41,6	1674
13,4	10,8	7,1	0,595	3,1	5800	34,2984	849
12,8	11,3	6	0,624	2,5	5070	36,2993	511
13,5	11,7	6,1	0,595	2,7	5290	21,501	664
15,2	8,7	5,3	0,53	4,3	4050	22,7008	798
14,2	8,8	7,7	0,497	4,7	4270	26,0991	946
14,3	11	6,3	0,537	3,5	4870	19,1002	539
13,5	10,4	11,5	0,537	3,4	6310	18,1996	929
13	11,6	12,8	0,536	3,4	6270	24,9008	750
12,5	10,8	10,5	0,567	5,8	6260	26,401	1225
12,6	10,8	6,7	0,602	3,3	5570	37,5998	742
15,7	8,9	4,4	0,512	3,4	2880	37,0994	439
13,2	9,6	8,3	0,564	3,2	5130	25,1989	1216
13,1	11,6	7,3	0,574	4,2	5400	17,6	968
13	11,6	5,7	0,641	2,1	4860	21,9003	523
13,1	12,1	14,3	0,631	4,1	6740	22,1005	1993
13,5	10,9	7,1	0,54	2,2	5640	28,4999	342
15,2	11,2	7,6	0,571	2,8	5370	25,8006	1216
11,9	10,7	15,7	0,521	3,6	6370	36,7009	1043
16,6	8,9	5,4	0,521	2,6	3960	28,3011	696
14	9,3	5,4	0,535	4	4530	21,7998	373
12,5	10,9	8,1	0,586	4,3	6170	30,9014	754
14,7	10,4	6,4	0,56	2,4	4620	25,5005	1072
12,6	11,8	9,7	0,542	3,5	5890	21,6997	923
12,3	10,2	8,7	0,526	5	5720	37,4011	653
15	10	9,8	0,531	3,8	5590	44,0004	1272
17,7	8,7	5,6	0,638	2,8	3820	31,6995	831
13,3	10,4	4,7	0,599	2,7	4250	16,6999	566
14,9	8,8	5,4	0,515	3,5	3950	27,3004	826
14,5	10,4	7,4	0,56	3,1	4880	29,3004	1151
14,8	12,2	6,6	0,601	2	5900	30,0001	880
14,1	10,9	5,4	0,523	3,7	4890	12,1996	542
16,2	9,9	7	0,522	2,7	4960	31,9989	823
13,6	12,1	9,6	0,574	3,7	6220	30,0001	1030
13,9	8,8	4,1	0,48	5,3	4570	32,5996	455
12,6	10,4	9,7	0,599	2,5	5930	16,6999	508
13	12,1	9,1	0,623	4	5880	16,0997	849
